Name,PA,k_percent,bb_percent,woba,barrel_batted_rate,hard_hit_percent,whiff_percent,swing_percent,pitch_hand,n_fastball,n_breaking,n_offspeed
"Alvarado, José",258,24.4,10.9,0.288,6.6,41,28.4,46.6,L,99.7,0.3,0
"Berríos, José",786,19.5,6.9,0.308,7.8,41.8,21.1,46.7,R,55.5,28.6,16
"Banks, Tanner",310,25.2,7.7,0.293,6.3,34.1,26.1,48.2,L,39.4,47.8,12.9
"Blach, Ty",330,10.9,5.5,0.413,12.2,42.6,14.8,50.1,L,64.4,11,24.5
"Castillo, Luis",719,24.3,6.5,0.305,8.5,41.9,25.9,50.6,R,63.4,22.4,14.3
"Domínguez, Seranthony",255,26.7,8.2,0.312,12.2,32.9,26.4,47.4,R,58.8,40,1.1
"Severino, Luis",761,21.2,7.9,0.308,5.7,35.6,22,50.6,R,68.3,24.2,7.5
"Flexen, Chris",707,17.4,8.9,0.355,8.1,37.4,22.7,46,R,63.3,21,15.7
"Hader, Josh",278,37.8,9,0.261,10.2,38.8,40.5,54.4,L,71.5,27.4,1
"Suárez, Ranger",626,23.2,6.5,0.297,5.1,34.3,21.9,47.3,L,63.1,20.6,16.3
"López, Reynaldo",543,27.3,7.7,0.271,8.8,42.2,27.5,49,R,55.2,41,3.8
"Maeda, Kenta",485,19.8,6.4,0.351,8.2,36.1,23.9,47.2,R,31.3,37.5,31.2
"Iglesias, Raisel",259,26.3,5,0.200,4,30.9,31.5,52.3,R,48.6,20.7,30.7
"Finnegan, Kyle",271,22.1,8.9,0.309,7,48.1,23.1,53.2,R,67.6,5.6,26.8
"Manaea, Sean",738,24.9,8.5,0.275,7.5,37.8,26.1,49,L,63.2,25.1,11.8
"Puk, A.J.",294,29.9,9.5,0.265,4,33.5,31.8,49.3,L,58,38,4
"López, Pablo",772,25.6,5.3,0.306,8.2,37.5,27,51.8,R,48.1,31.8,20.1
"Alexander, Tyler",455,19.8,5.3,0.335,9.8,37.2,20.1,50,L,67.2,19.1,13.7
"Cortes Jr., Nestor",710,22.8,5.5,0.307,7.9,43.6,24.2,50.4,L,73.6,16.7,9.7
"Dunning, Dane",421,21.6,9.5,0.347,10.9,45.8,23.7,45.5,R,59.3,28.1,12.6
"Hudson, Dakota",404,12.1,12.4,0.360,6.3,42,18.6,42.1,R,48.4,41.7,9.9
"Jiménez, Joe",277,29.6,8.3,0.230,4.8,32.7,32.9,51.4,R,46.2,49.6,4.2
"Kinley, Tyler",285,25.3,11.6,0.341,9,33.1,33.1,50,R,33.8,62.7,3.5
"Littell, Zack",656,21.5,4.7,0.317,9.6,39.2,23.1,51.9,R,36.9,39.9,23.2
"Ober, Bailey",709,26.9,6.1,0.282,8.3,34.3,29,52.4,R,57.6,13,29.4
"Yarbrough, Ryan",398,16.3,8,0.273,6.2,29.4,21.1,47.4,L,57,27.5,15.5
"Peralta, Freddy",725,27.6,9.4,0.305,8.7,36.9,31.1,46.9,R,53.9,28.6,17.5
"Santana, Dennis",287,24,7.3,0.281,4.7,32.6,28.2,50.7,R,58.8,32.8,8.4
"Jax, Griffin",276,34.4,5.4,0.227,8,38.7,37.8,52.1,R,39.7,43.6,16.7
"Leiter Jr., Mark",256,33.6,8.6,0.308,8.3,40,38.3,46.8,R,37.6,26.1,36.3
"Rogers, Tyler",290,17.6,2.1,0.281,4.4,31.1,18.6,53,R,64.5,35.5,0
"Soroka, Michael",347,24.2,12.7,0.324,9.7,35.2,24.8,43.3,R,53.7,36.5,9.8
"Abreu, Bryan",325,31.7,9.8,0.288,8.7,38,34,46.2,R,46.4,53.1,0.5
"King, Michael",726,27.7,8.7,0.284,6.2,30.3,29.3,45.4,R,52,23.4,24.6
"Civale, Aaron",689,21.6,7.5,0.327,7.3,39.4,21.9,45.2,R,66.1,31.9,2
"Cabrera, Génesis",271,18.5,10.7,0.338,7.4,41.1,26.1,48.6,L,80.3,12,7.7
"Sánchez, Cristopher",754,20.3,5.8,0.290,5.4,34.5,24.3,51.6,L,47.4,16.9,35.7
"Beeks, Jalen",312,17.6,8.7,0.322,4.8,33,23.2,47.3,L,73.4,1,25.5
"Canning, Griffin",739,17.6,8.9,0.341,8.6,41.9,24.5,48.4,R,38.6,34.8,26.7
"Cease, Dylan",762,29.4,8.5,0.266,8.5,38.6,32.4,48.2,R,44.1,55,0.9
"Flaherty, Jack",649,29.9,5.9,0.288,7.7,35.9,32.1,46.2,R,46.4,50.8,2.7
"Ginkel, Kevin",291,26.5,5.2,0.300,5.6,40.8,27.9,49.3,R,61.6,38.4,0
"Hoffman, Jeff",265,33.6,6,0.252,7.6,42,35.3,51.7,R,47.3,40.8,12
"Holmes, Grant",282,24.8,5.3,0.287,6.7,38.5,32.4,54,R,45.5,53.3,1.2
"Houck, Tanner",743,20.7,6.5,0.276,5.7,41.8,22.6,46.8,R,33.8,41.4,24.8
"Keller, Mitch",773,21.5,6.5,0.331,7.2,39.3,21.5,47.6,R,64.6,34.6,0.7
"Kopech, Michael",279,31.5,12.2,0.277,10.5,40.8,32.8,46.9,R,89,11,0
"Megill, Tylor",337,27,9.5,0.304,10,42.6,28.6,49,R,70.8,20.1,9
"Montgomery, Jordan",532,15.6,8.3,0.370,6,41,26.9,49.6,L,48.2,32.5,19.3
"Peterson, David",510,19.8,9,0.299,7.3,42.7,25.6,47.8,L,57.5,26.1,16.4
"Scott, Tanner",294,28.6,12.2,0.241,4.7,27.5,32.7,51.8,L,59.2,40.7,0.1
"Steele, Justin",555,24.3,6.7,0.271,4.2,33.2,23.7,51.5,L,64.9,31.9,3.3
